Gender,Age,Married,Number of Dependents,City,Number of Referrals,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Customer Status
Male,31,Yes,3,Santa Rosa,1,25,Yes,Yes,No,Fiber Optic,21.0,No,No,Yes,Yes,No,Yes,2-Y,630.6,44.42,0,592.25,Stayed
Male,46,Yes,0,San Jose,5,25,Yes,No,Yes,Cable,19.0,Yes,No,No,No,No,Yes,1-Y,1611.0,44.9,0,161.25,Stayed
Male,57,No,1,Tujunga,0,29,No,No,Yes,DSL,21.0,Yes,Yes,No,No,No,Yes,M-to-M,1242.45,12.26,0,0.0,Stayed
Male,19,Yes,0,Visalia,5,72,Yes,Yes,Yes,DSL,52.0,Yes,Yes,Yes,Yes,Yes,Yes,2-Y,6316.2,0.0,0,2329.92,Stayed
Female,64,No,0,Lodi,0,14,Yes,No,Yes,Cable,12.0,No,No,No,No,No,Yes,1-Y,727.85,0.0,0,336.56,Stayed
Female,38,No,0,El Portal,0,35,Yes,No,Yes,Fiber Optic,2.0,Yes,Yes,Yes,Yes,Yes,Yes,1-Y,3532.0,0.0,0,1274.7,Stayed
Male,50,No,0,Farmington,0,29,Yes,No,Yes,Fiber Optic,17.0,No,Yes,Yes,Yes,Yes,No,M-to-M,2607.6,0.0,20,59.45,Stayed
Male,25,No,0,Tulelake,0,64,Yes,Yes,Yes,DSL,69.0,Yes,Yes,Yes,No,No,No,1-Y,5567.55,0.0,40,351.36,Stayed
Female,35,Yes,3,Coleville,1,39,Yes,Yes,Yes,Fiber Optic,53.0,No,Yes,Yes,Yes,Yes,Yes,M-to-M,3767.4,0.0,0,950.82,Stayed
Female,72,No,0,Ojai,0,40,Yes,No,Yes,Fiber Optic,23.0,No,No,Yes,Yes,No,Yes,2-Y,3673.6,0.0,0,1765.6,Stayed
Male,51,No,0,Desert Hot Springs,0,40,Yes,Yes,Yes,Fiber Optic,15.0,Yes,No,Yes,Yes,Yes,Yes,M-to-M,4036.85,0.0,0,1507.6,Churned
Female,78,No,1,North Hollywood,0,11,Yes,No,Yes,Fiber Optic,29.0,No,No,Yes,Yes,No,No,M-to-M,1120.3,0.0,120,127.49,Churned
Female,30,Yes,0,Inverness,10,6,Yes,Yes,Yes,Cable,85.0,No,No,No,No,No,Yes,M-to-M,314.55,0.0,0,255.96,Stayed
Male,58,No,0,Santa Rosa,0,30,Yes,Yes,Yes,DSL,15.0,No,No,No,Yes,Yes,Yes,M-to-M,1888.45,0.0,0,79.2,Stayed
Male,26,No,0,San Jose,0,27,Yes,No,No,Fiber Optic,21.0,No,No,Yes,Yes,No,Yes,M-to-M,529.8,0.0,0,557.82,Stayed
Male,66,Yes,0,Wilmington,3,70,Yes,Yes,Yes,Fiber Optic,28.0,Yes,No,Yes,Yes,No,Yes,1-Y,7308.95,6.11,0,2764.3,Stayed
Female,20,Yes,0,Modesto,10,57,Yes,Yes,Yes,Fiber Optic,73.0,Yes,Yes,Yes,Yes,Yes,Yes,1-Y,6252.7,0.0,0,456.57,Stayed
Male,61,Yes,0,San Diego,10,58,Yes,No,Yes,DSL,18.0,Yes,No,No,No,No,Yes,1-Y,2878.55,10.23,0,1065.46,Stayed
Male,24,No,0,Rancho Palos Verdes,0,16,Yes,Yes,Yes,DSL,48.0,Yes,No,No,Yes,Yes,Yes,M-to-M,1212.1,0.0,0,411.36,Stayed
Female,55,Yes,0,Kenwood,3,69,Yes,Yes,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,2-Y,8182.85,0.0,0,2657.88,Stayed
Male,32,No,0,West Point,0,1,Yes,No,No,Fiber Optic,21.0,No,No,Yes,Yes,No,Yes,M-to-M,19.85,0.0,0,31.77,Churned
Male,59,No,0,Los Angeles,0,1,Yes,Yes,Yes,Fiber Optic,25.0,Yes,No,Yes,Yes,Yes,Yes,M-to-M,99.75,0.0,0,40.71,Churned
Male,71,Yes,1,Morongo Valley,9,32,Yes,No,Yes,Fiber Optic,23.0,No,No,Yes,Yes,Yes,Yes,1-Y,2861.45,0.0,0,1019.52,Stayed
Male,49,Yes,2,Palo Verde,8,16,Yes,Yes,Yes,Fiber Optic,12.0,Yes,No,Yes,No,No,Yes,M-to-M,1442.2,0.0,0,779.36,Stayed
Male,61,Yes,0,Valyermo,1,49,Yes,Yes,Yes,Cable,10.0,Yes,Yes,Yes,Yes,Yes,Yes,1-Y,4059.35,0.0,0,1937.95,Churned
Female,40,Yes,0,Cambria,2,71,No,No,Yes,Cable,29.0,Yes,Yes,Yes,Yes,Yes,Yes,2-Y,4145.9,0.0,0,0.0,Stayed
Female,39,No,0,Round Mountain,0,33,Yes,Yes,Yes,Fiber Optic,12.0,Yes,No,Yes,Yes,Yes,Yes,M-to-M,3645.5,0.0,0,1639.77,Stayed
Female,21,Yes,0,Klamath,9,10,Yes,No,No,Fiber Optic,21.0,No,No,Yes,Yes,No,Yes,M-to-M,187.75,0.0,0,496.0,Stayed
Male,24,Yes,0,Fresno,1,21,Yes,Yes,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,No,M-to-M,2317.1,0.0,120,761.46,Churned
Male,52,Yes,1,Angwin,1,37,No,No,Yes,DSL,23.0,Yes,No,No,No,No,Yes,M-to-M,1448.8,0.0,0,0.0,Churned
Female,71,No,0,Le Grand,0,26,Yes,No,Yes,Fiber Optic,7.0,No,No,Yes,No,No,Yes,M-to-M,2193.65,0.0,0,877.24,Stayed
Male,45,No,0,Redway,0,50,No,No,Yes,DSL,7.0,No,Yes,No,No,No,Yes,1-Y,1748.9,0.0,0,0.0,Stayed
Female,29,No,0,San Diego,0,7,Yes,Yes,Yes,Fiber Optic,26.0,No,No,No,No,Yes,Yes,M-to-M,511.25,13.03,0,200.34,Churned
Female,62,Yes,0,Monterey Park,1,61,Yes,Yes,Yes,DSL,28.0,Yes,Yes,Yes,Yes,Yes,Yes,2-Y,5526.75,0.0,0,2878.59,Stayed
Male,42,No,0,Big Oak Flat,0,15,Yes,No,Yes,Fiber Optic,12.0,Yes,Yes,Yes,Yes,Yes,Yes,M-to-M,1553.95,0.0,0,688.8,Churned
Female,51,No,2,Stevenson Ranch,0,26,No,No,Yes,DSL,19.0,No,Yes,No,Yes,Yes,Yes,M-to-M,1147.0,0.0,0,0.0,Stayed
Male,39,Yes,0,North Highlands,9,72,Yes,No,Yes,Fiber Optic,23.0,Yes,No,Yes,Yes,Yes,Yes,M-to-M,6747.35,0.0,0,2391.84,Stayed
Male,64,Yes,0,La Puente,1,44,Yes,No,No,Fiber Optic,21.0,No,No,Yes,Yes,No,Yes,1-Y,865.05,0.0,0,1205.6,Stayed
Male,55,No,0,Glenhaven,0,66,Yes,Yes,Yes,Fiber Optic,8.0,No,No,No,Yes,Yes,No,M-to-M,5976.9,36.02,40,3219.48,Stayed
Female,40,No,0,Alhambra,0,2,Yes,No,Yes,Fiber Optic,16.0,No,Yes,No,No,No,Yes,M-to-M,181.65,0.0,0,73.62,Churned
Female,76,No,0,Santa Monica,0,44,Yes,No,Yes,DSL,17.0,Yes,Yes,Yes,Yes,Yes,Yes,1-Y,3268.05,17.91,0,339.68,Stayed
Female,57,No,0,Lodi,0,12,Yes,Yes,Yes,Fiber Optic,6.0,No,No,Yes,No,No,Yes,M-to-M,1052.4,0.0,0,172.56,Churned
Male,71,Yes,0,Los Angeles,1,69,Yes,Yes,Yes,Fiber Optic,17.0,Yes,Yes,Yes,Yes,No,Yes,2-Y,7634.25,0.0,0,1270.29,Stayed
Female,25,No,0,Fairfield,0,1,Yes,Yes,Yes,Fiber Optic,69.0,No,No,No,No,No,Yes,M-to-M,80.2,0.0,0,1.23,Churned
Female,24,No,0,Stockton,0,3,Yes,No,No,Fiber Optic,21.0,No,No,Yes,Yes,No,Yes,M-to-M,63.75,0.0,0,77.25,Churned
Female,77,No,0,Fallbrook,0,27,Yes,Yes,Yes,Fiber Optic,4.0,Yes,No,No,No,No,Yes,2-Y,2401.05,0.0,0,80.19,Stayed
Male,57,No,0,Randsburg,0,26,Yes,No,No,Fiber Optic,21.0,No,No,Yes,Yes,No,Yes,M-to-M,511.25,0.0,0,346.84,Stayed
Female,73,Yes,0,Atascadero,9,39,Yes,Yes,Yes,Fiber Optic,21.0,No,Yes,Yes,Yes,Yes,Yes,M-to-M,3949.15,0.0,0,785.85,Stayed
Male,41,No,0,Planada,0,25,Yes,Yes,Yes,Fiber Optic,8.0,No,No,Yes,Yes,Yes,Yes,M-to-M,2362.1,0.0,0,872.0,Churned
Female,43,No,0,Moorpark,0,1,Yes,No,Yes,Fiber Optic,23.0,No,No,No,No,No,Yes,M-to-M,70.9,0.0,0,39.81,Churned
Male,48,Yes,0,Solvang,1,22,Yes,No,Yes,DSL,21.0,No,Yes,No,No,No,Yes,M-to-M,1152.7,0.0,0,599.28,Churned
Female,56,No,0,Calistoga,0,72,Yes,Yes,Yes,Fiber Optic,5.0,Yes,Yes,Yes,Yes,Yes,Yes,2-Y,8496.7,0.0,0,3482.64,Stayed
Female,51,No,0,La Mirada,0,24,Yes,No,No,Fiber Optic,21.0,No,No,Yes,Yes,No,Yes,2-Y,470.2,0.0,0,255.36,Stayed
Female,34,Yes,0,Boron,8,19,Yes,Yes,Yes,Fiber Optic,16.0,No,No,Yes,No,No,Yes,M-to-M,1564.4,0.0,0,148.96,Stayed
Male,21,Yes,2,San Marcos,2,71,Yes,Yes,No,Fiber Optic,21.0,No,No,Yes,Yes,No,Yes,2-Y,1847.55,0.0,0,653.2,Stayed
Male,78,Yes,0,Desert Center,7,33,Yes,Yes,Yes,Fiber Optic,20.0,Yes,Yes,Yes,Yes,No,Yes,1-Y,3694.7,0.0,0,829.95,Stayed
Male,54,Yes,1,Tuolumne,7,47,Yes,Yes,Yes,Fiber Optic,13.0,No,No,Yes,No,No,Yes,M-to-M,4017.45,0.0,0,51.23,Stayed
Male,42,Yes,3,San Diego,2,62,Yes,No,Yes,Fiber Optic,20.0,Yes,Yes,Yes,Yes,Yes,Yes,2-Y,6825.65,0.0,0,109.12,Stayed
Male,22,No,0,Auburn,0,71,Yes,Yes,Yes,Fiber Optic,48.0,Yes,Yes,Yes,Yes,Yes,Yes,1-Y,8309.55,0.0,0,204.48,Stayed
Male,71,Yes,0,Fresno,8,7,Yes,No,Yes,Fiber Optic,11.0,No,No,Yes,Yes,Yes,Yes,2-Y,605.45,0.0,0,293.79,Stayed
Female,56,Yes,2,Del Rey,6,27,Yes,No,Yes,Fiber Optic,28.0,No,No,No,No,No,Yes,M-to-M,1972.35,0.0,0,1259.82,Stayed
Female,32,No,3,Landers,0,25,No,No,Yes,Cable,75.0,No,Yes,No,No,No,Yes,2-Y,844.45,0.0,0,0.0,Stayed
Male,80,No,0,Hawthorne,0,30,Yes,No,Yes,DSL,5.0,No,No,Yes,Yes,No,Yes,1-Y,2111.3,0.0,0,1158.3,Stayed
Female,73,Yes,0,Oceano,1,58,Yes,No,Yes,Fiber Optic,19.0,No,Yes,Yes,Yes,Yes,Yes,1-Y,6205.5,0.0,0,982.52,Churned
Male,26,Yes,0,Armona,1,10,Yes,Yes,Yes,Fiber Optic,82.0,No,No,No,Yes,Yes,No,M-to-M,855.3,0.0,100,20.2,Churned
Female,59,No,0,Clarksburg,0,9,Yes,Yes,Yes,Fiber Optic,28.0,No,No,No,No,No,Yes,M-to-M,633.85,0.0,0,83.43,Stayed
Female,78,Yes,0,Irvine,1,6,Yes,Yes,Yes,Fiber Optic,17.0,No,No,No,Yes,No,Yes,M-to-M,474.9,0.0,0,172.26,Churned
Female,47,Yes,1,Scotts Valley,7,69,Yes,Yes,Yes,Fiber Optic,16.0,Yes,No,No,No,No,No,1-Y,5848.6,0.0,40,2685.48,Stayed
Female,68,No,0,Salida,0,66,Yes,Yes,Yes,Fiber Optic,20.0,No,No,Yes,Yes,Yes,Yes,2-Y,6471.85,0.0,0,689.7,Stayed
Female,30,No,0,Mckinleyville,0,70,Yes,Yes,Yes,Fiber Optic,52.0,Yes,Yes,Yes,Yes,Yes,Yes,1-Y,8127.6,0.0,0,714.7,Churned
Male,62,No,0,Atherton,0,25,Yes,Yes,No,Fiber Optic,21.0,No,No,Yes,Yes,No,Yes,1-Y,676.35,0.0,0,139.25,Churned
Female,52,Yes,2,Huntington Beach,1,46,Yes,No,No,Fiber Optic,21.0,No,No,Yes,Yes,No,Yes,2-Y,864.2,0.0,0,1119.18,Stayed
Female,63,Yes,0,Calimesa,7,54,Yes,Yes,Yes,Fiber Optic,26.0,Yes,Yes,Yes,Yes,Yes,Yes,1-Y,6049.5,0.0,0,615.6,Stayed
Female,54,No,0,Daly City,0,15,Yes,No,Yes,Fiber Optic,7.0,Yes,Yes,Yes,Yes,Yes,Yes,M-to-M,1582.75,0.0,0,335.85,Churned
Female,48,Yes,1,Middletown,0,12,Yes,No,No,Fiber Optic,21.0,No,No,Yes,Yes,No,Yes,M-to-M,198.1,0.0,0,99.0,Stayed
Female,51,No,0,Berkeley,0,22,No,No,Yes,Cable,22.0,No,No,Yes,Yes,Yes,Yes,M-to-M,1098.85,0.0,0,0.0,Stayed
Female,22,Yes,0,Lost Hills,9,70,No,No,Yes,Cable,85.0,Yes,Yes,Yes,Yes,Yes,Yes,2-Y,4039.3,1.01,0,0.0,Stayed
Male,52,No,0,Garden Grove,0,30,Yes,No,Yes,Fiber Optic,20.0,Yes,No,No,No,No,No,M-to-M,2438.6,0.0,130,741.9,Stayed
Male,22,Yes,1,Indio,1,71,Yes,Yes,Yes,Fiber Optic,59.0,No,No,Yes,Yes,Yes,Yes,1-Y,7113.75,16.99,0,2012.14,Stayed
Male,33,Yes,0,Oxnard,2,30,Yes,No,No,Fiber Optic,21.0,No,No,Yes,Yes,No,Yes,1-Y,576.65,0.0,0,294.3,Stayed
Male,26,Yes,0,San Diego,5,4,Yes,Yes,Yes,Fiber Optic,19.0,Yes,No,No,No,Yes,Yes,M-to-M,371.9,0.0,0,115.08,Churned
Male,58,No,0,Escondido,0,2,Yes,No,Yes,Fiber Optic,28.0,Yes,No,No,Yes,Yes,Yes,M-to-M,167.3,0.0,0,28.28,Churned
Male,22,No,1,Moreno Valley,0,10,Yes,No,No,Fiber Optic,21.0,No,No,Yes,Yes,No,Yes,1-Y,219.5,0.0,0,78.6,Stayed
Male,66,No,0,Chino,0,4,Yes,No,Yes,Fiber Optic,29.0,No,No,No,No,No,Yes,1-Y,273.4,0.0,0,145.6,Stayed
Male,69,No,0,Sacramento,0,52,No,No,Yes,DSL,19.0,No,No,Yes,Yes,Yes,Yes,2-Y,2555.05,0.0,0,0.0,Stayed
Male,25,No,0,San Diego,0,5,Yes,Yes,Yes,Cable,85.0,No,No,No,No,Yes,Yes,M-to-M,223.15,0.0,0,110.05,Churned
Male,30,Yes,3,Turlock,1,8,Yes,No,No,Fiber Optic,21.0,No,No,Yes,Yes,No,Yes,2-Y,165.5,0.0,0,22.96,Stayed
Male,40,No,0,Los Gatos,0,19,Yes,Yes,Yes,DSL,18.0,Yes,Yes,No,No,No,Yes,M-to-M,1144.6,0.0,0,225.15,Stayed
Male,53,No,0,Clovis,0,72,Yes,Yes,Yes,DSL,13.0,Yes,Yes,No,No,No,Yes,2-Y,4908.25,0.0,0,263.52,Stayed
Male,76,Yes,0,Hyampom,2,63,No,No,Yes,DSL,7.0,No,Yes,No,No,No,Yes,1-Y,2298.9,0.0,0,0.0,Stayed
Male,38,Yes,0,Woodland Hills,1,66,No,No,Yes,DSL,29.0,Yes,Yes,Yes,No,No,Yes,2-Y,3789.2,0.0,0,0.0,Stayed
Male,23,No,0,Temecula,0,1,Yes,No,Yes,Fiber Optic,27.0,No,Yes,No,No,No,Yes,M-to-M,75.9,0.0,0,44.56,Churned
Female,24,No,0,Livingston,0,60,Yes,Yes,Yes,Fiber Optic,48.0,Yes,No,No,No,No,Yes,1-Y,4765.0,0.0,0,917.4,Stayed
Female,43,Yes,3,Tulare,3,48,No,No,Yes,DSL,22.0,Yes,No,No,Yes,Yes,Yes,1-Y,2196.3,0.0,0,0.0,Stayed
Female,45,No,0,Buellton,0,1,Yes,No,Yes,Fiber Optic,4.0,Yes,No,Yes,No,No,Yes,M-to-M,85.55,0.0,0,33.34,Churned
Male,49,No,0,Palmdale,0,15,Yes,Yes,Yes,Fiber Optic,15.0,No,No,Yes,Yes,Yes,Yes,M-to-M,1444.65,0.0,0,733.95,Churned
Female,62,Yes,0,Midway City,4,50,Yes,Yes,Yes,Fiber Optic,13.0,No,Yes,Yes,Yes,Yes,Yes,M-to-M,5405.8,0.0,0,1728.5,Stayed
Male,25,Yes,1,Folsom,10,72,Yes,Yes,Yes,Cable,30.0,Yes,Yes,Yes,Yes,Yes,Yes,2-Y,6339.3,0.0,0,2430.0,Stayed
Female,37,No,0,Oakland,0,46,Yes,Yes,Yes,Fiber Optic,21.0,No,No,No,No,No,No,M-to-M,3847.6,0.0,100,1990.42,Stayed
Female,35,Yes,1,San Anselmo,4,72,Yes,Yes,Yes,DSL,19.0,Yes,Yes,Yes,Yes,Yes,Yes,2-Y,6733.0,0.0,0,2160.0,Stayed
Female,69,No,0,San Clemente,0,67,Yes,No,Yes,Fiber Optic,21.0,No,Yes,Yes,No,No,Yes,2-Y,6140.85,0.0,0,172.19,Stayed
Female,44,Yes,1,Los Angeles,5,48,Yes,Yes,Yes,DSL,27.0,No,Yes,Yes,Yes,Yes,Yes,2-Y,3870.3,0.0,0,429.12,Stayed
Female,19,No,0,Downey,0,72,Yes,No,Yes,Fiber Optic,73.0,Yes,Yes,Yes,Yes,Yes,Yes,2-Y,7624.2,0.0,0,3017.52,Stayed
Male,64,Yes,0,Bodega Bay,6,52,Yes,Yes,Yes,Cable,24.0,Yes,Yes,No,Yes,Yes,Yes,1-Y,4354.45,0.0,0,2149.68,Stayed
Female,44,Yes,3,Challenge,1,67,Yes,No,Yes,Cable,28.0,No,No,No,No,No,Yes,1-Y,3431.75,0.0,0,3142.3,Stayed
Female,58,Yes,0,Ludlow,1,28,Yes,No,Yes,Fiber Optic,13.0,No,No,No,Yes,Yes,Yes,M-to-M,2227.1,0.0,0,471.8,Churned
Female,29,Yes,1,Santa Clara,9,32,Yes,Yes,Yes,DSL,51.0,Yes,No,No,No,Yes,Yes,M-to-M,2045.55,0.0,0,1064.96,Stayed
Female,80,Yes,0,Perris,2,27,Yes,No,Yes,Cable,25.0,No,No,No,No,No,Yes,M-to-M,1929.35,0.0,0,189.54,Churned
Male,22,No,0,San Diego,0,2,Yes,Yes,Yes,Cable,27.0,No,No,Yes,No,Yes,Yes,M-to-M,181.5,0.0,0,80.86,Churned
Female,50,No,2,San Dimas,0,9,Yes,No,Yes,Cable,11.0,Yes,Yes,Yes,Yes,Yes,Yes,M-to-M,651.4,0.0,0,319.41,Churned
Male,53,Yes,2,Rescue,10,50,Yes,Yes,Yes,Cable,28.0,No,Yes,Yes,No,No,Yes,2-Y,3486.65,0.0,0,2224.5,Stayed
Female,45,Yes,2,Clio,1,71,Yes,No,No,Fiber Optic,21.0,No,No,Yes,Yes,No,Yes,2-Y,1389.6,0.0,0,2203.13,Stayed
Male,76,Yes,0,San Diego,2,32,Yes,Yes,Yes,Fiber Optic,10.0,No,No,No,No,No,Yes,M-to-M,2303.35,0.0,0,1514.88,Churned
Female,57,Yes,3,Lotus,10,16,Yes,No,Yes,Fiber Optic,76.0,Yes,No,Yes,Yes,Yes,Yes,M-to-M,1522.7,0.0,0,436.32,Stayed
Female,45,Yes,3,San Marcos,8,67,Yes,Yes,Yes,Fiber Optic,22.0,Yes,Yes,Yes,Yes,Yes,Yes,2-Y,6717.9,0.0,0,1191.93,Stayed
Male,43,Yes,1,Lompoc,1,72,Yes,Yes,Yes,Fiber Optic,13.0,Yes,Yes,Yes,Yes,Yes,Yes,2-Y,8058.55,0.0,0,1147.68,Stayed
Female,41,No,0,Pilot Hill,0,3,Yes,No,No,Fiber Optic,21.0,No,No,Yes,Yes,No,Yes,M-to-M,58.85,0.0,0,73.89,Churned
Male,22,Yes,3,San Francisco,1,23,Yes,Yes,No,Fiber Optic,21.0,No,No,Yes,Yes,No,Yes,1-Y,538.5,0.0,0,1104.46,Stayed
Male,62,Yes,2,Mission Hills,1,72,Yes,Yes,Yes,DSL,18.0,Yes,Yes,No,No,No,Yes,2-Y,5102.35,25.24,0,2042.64,Stayed
Male,21,Yes,2,Los Angeles,9,7,No,No,Yes,Cable,47.0,Yes,No,Yes,Yes,Yes,Yes,M-to-M,465.7,0.0,0,0.0,Stayed
